name,description,price
Webcam,Precision tracking for all your gaming needs.,23.11
Action Camera,Fast charging with safety protection and compact design.,488.04
Bluetooth Speaker,Keep your floors clean with automated vacuuming.,221.78
Robot Vacuum,In-ear design with clear sound and touch controls.,32.7
4K Projector,Store your files securely with fast read/write speeds.,149.17
Wireless Earbuds,Project movies in 4K resolution with vivid colors.,228.23
Noise Cancelling Headphones,Immerse yourself in virtual worlds with this headset.,309.51
Streaming Stick,Tactile feedback and customizable keys for typing.,105.29
Smart Light Bulb,Central hub to control all your smart devices.,358.86
Bluetooth Headphones,Charge your devices on the go with fast charging.,189.34
Gaming Mouse,Fast charging with safety protection and compact design.,391.25
Portable Air Conditioner,Crystal clear display with vibrant colors.,92.39
Webcam,Tactile feedback and customizable keys for typing.,155.81
Fitness Tracker,Over-ear headphones with deep bass and noise isolation.,343.98
HDMI Cable,"Protective cover with a sleek, lightweight design.",379.85
Gaming Mouse,Manage your home's temperature from anywhere.,28.16
Streaming Stick,Capture your moments in stunning clarity.,192.07
Noise Cancelling Headphones,Over-ear headphones with deep bass and noise isolation.,209.91
Action Camera,High-capacity power bank with multiple charging ports.,30.34
Smartphone Case,Durable case with shock absorption and sleek design.,334.45
Bluetooth Adapter,Durable case with shock absorption and sleek design.,34.63
Portable SSD,Crystal clear display with vibrant colors.,70.18
Laptop Stand,Over-ear headphones with deep bass and noise isolation.,211.69
Digital Camera,Charge your devices on the go with fast charging.,293.16
Action Camera,High-speed transfer and large storage capacity.,403.03
Car Charger,"Fast, reliable internet for all your devices.",66.25
Bluetooth Headphones,Seamlessly connect your devices with this adapter.,102.35
Wireless Earbuds,Control your lights remotely with your smartphone.,82.97
Action Camera,"Protective cover with a sleek, lightweight design.",431.53
Graphic Tablet,High-definition video calls with autofocus.,178.99
Streaming Stick,Immerse yourself in virtual worlds with this headset.,217.73
Action Camera,Track your fitness and notifications on the go.,210.38
Smart Doorbell,Capture your moments in stunning clarity.,16.42
Bluetooth Speaker,Manage your home's temperature from anywhere.,84.83
Robot Vacuum,Over-ear headphones with deep bass and noise isolation.,285.2
Memory Card,Crystal clear display with vibrant colors.,270.34
VR Headset,High-definition video calls with autofocus.,326.97
Fitness Tracker,Block out the world with premium sound quality.,377.31
Smart Light Bulb,Tactile feedback and customizable keys for typing.,48.1
Wireless Router,High-definition video calls with autofocus.,384.84
Memory Card,Monitor your health with an advanced fitness tracker.,249.42
LED Monitor,Expand your USB ports with this compact hub.,359.74
USB-C Charger,"Powerful sound in a portable, compact design.",468.66
Laptop Stand,Charge your devices on the go with fast charging.,256.94
Digital Camera,Durable case with shock absorption and sleek design.,424.21
USB Hub,Answer your door from anywhere with this smart doorbell.,320.52
Wireless Router,"Fast, reliable internet for all your devices.",375.27
Webcam,Durable case with shock absorption and sleek design.,214.8
Gaming Mouse,RGB lighting and mechanical keys for enhanced gaming.,433.82
Smart Thermostat,Stream your favorite shows in high definition.,369.75
Gaming Keyboard,Keep your floors clean with automated vacuuming.,488.53
USB-C Charger,Create digital art with precision and ease.,108.96
Smart Home Hub,Fast charging with safety protection and compact design.,33.77
Smart Thermostat,Block out the world with premium sound quality.,84.46
4K Projector,High-speed transfer and large storage capacity.,190.61
Smartphone Case,Track your fitness and notifications on the go.,376.29
Digital Camera,Durable case with shock absorption and sleek design.,34.7
Smart Light Bulb,Secure your home with this smart lock and app control.,70.02
